Latitude,Longitude,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail Flags,Tail Twitches,Approaches,Indifferent,Runs From
40.775795738046300,-73.974207345291300,12B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,false,true,false,false,false,,false,false,false,true,false,false,true,false
40.781391103617900,-73.971614706155300,18A-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.792871176006100,-73.953541065707700,36H-PM-1008-02,PM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.789177463798800,-73.963915929844600,29C-AM-1007-06,AM,2018-10-07,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true
40.795933779502700,-73.957956433862700,38C-PM-1014-09,PM,2018-10-14,Adult,Black,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,true,false,false
40.789250842862200,-73.957464809754300,31H-PM-1008-02,PM,2018-10-08,Juvenile,Gray,Above Ground,,true,false,true,false,false,,false,false,false,false,true,false,true,false
40.770599958822200,-73.970252675331000,8H-AM-1017-06,AM,2018-10-17,Adult,Gray,Above Ground,,false,true,false,true,false,,false,false,false,false,false,false,true,false
40.791861349840700,-73.957964594041400,34F-AM-1007-01,AM,2018-10-07,Adult,Gray,Above Ground,,true,false,true,false,false,,false,false,false,false,false,false,false,true
40.774950525298100,-73.967325341730500,13H-PM-1010-02,PM,2018-10-10,Adult,Gray,Above Ground,tree,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.782030982544800,-73.964003282652900,22F-PM-1014-06,PM,2018-10-14,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,true,false,true,false
40.790584733236900,-73.959593319540900,32E-AM-1007-13,AM,2018-10-07,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.793779699421000,-73.960222211670800,35C-AM-1007-05,AM,2018-10-07,Adult,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false
40.779249873647000,-73.968063507094900,17E-AM-1017-05,AM,2018-10-17,Adult,Black,Above Ground,Branch,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.768690533921200,-73.980166643540100,2B-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,true,false,false,false,false,running (with nut),false,false,false,false,false,false,false,false
40.781347735250700,-73.967563432687700,19D-AM-1007-01,AM,2018-10-07,Juvenile,Gray,Ground Plane,,false,false,true,true,false,,false,false,false,false,false,false,false,false
40.798288634869600,-73.958497064321300,40B-AM-1019-03,AM,2018-10-19,Juvenile,Gray,Ground Plane,,true,true,false,false,false,,false,false,false,false,true,true,false,false
40.768195436691100,-73.976029824117800,3E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,true,false
40.797239913381600,-73.956880214981800,39C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,true,false
40.769052644110900,-73.972464243639400,6G-AM-1008-02,AM,2018-10-08,Juvenile,Gray,Ground Plane,bush,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.776043272001700,-73.969017583853400,14F-AM-1007-05,AM,2018-10-07,Juvenile,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,false,true,false
40.769028098595600,-73.970408282135600,6I-PM-1013-06,PM,2018-10-13,Adult,Gray,Ground Plane,,false,false,false,false,false,playing with #5,false,false,false,false,true,false,false,false
